scenario_id,kl_divergence,residuals,model_probs
S1_065,0.001546,"{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0022}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_067,0.0,"{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_069,0.0,"{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_073,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_077,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_081,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_082,0.056569,"{""Drev_no_action"": 0.08, ""Drev_commission_review"": 0.0}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_083,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_084,0.042426,"{""Drev_no_action"": 0.06, ""Drev_commission_review"": 0.0}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_085,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_086,0.070716,"{""Drev_no_action"": 0.1, ""Drev_commission_review"": 0.0012}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_087,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_088,0.11314,"{""Drev_no_action"": 0.16, ""Drev_commission_review"": 0.0012}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_089,0.0,{},"{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_090,0.042435,"{""Drev_no_action"": 0.06, ""Drev_commission_review"": 0.0012}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_091,0.0,{},"{""D0_minimal"": -14.4302, ""D1_review"": -1.0986}"
S1_092,0.296985,"{""Drev_no_action"": 0.42, ""Drev_commission_review"": 0.0}","{""Drev_no_action"": -14.4302, ""Drev_commission_review"": -1.3857}"
S1_093,0.0,{},"{""D0_minimal"": -14.4302, ""D1_review"": -1.0986}"
S1_094,0.0,{},"{""Drev_no_action"": -14.4302, ""Drev_commission_review"": -1.3857}"
